"ID","CREATED_DATE","LAST_UPDATED_DATE","DELETE_DATE","DELETE_FLAG","LEVEL","RESULT","CREATED_USER_ID","DATA_POINT_ID","DELETE_USER_ID","LAST_UPDATED_USER_ID","MATERIAL_TEST_METHOD_ID","LOWER_LIMIT","UPPER_LIMIT"
5412,2022-03-06 09:00:28,2022-03-06 09:00:29,,0,1,一等品,622,1,,622,5468,56,70
5411,2022-03-06 09:00:05,2022-03-06 09:00:06,,0,1,一等品,622,4,,622,5467,63,69
5410,2022-03-06 08:59:39,2022-03-06 08:59:39,,0,1,一等品,622,3,,622,5466,1.14,1.16
5409,2022-03-06 08:59:06,2022-03-06 08:59:08,,0,1,一等品,622,8,,622,5465,79,115
5408,2022-03-06 08:58:51,2022-03-06 08:59:07,,0,1,一等品,622,6,,622,5465,25,300
5407,2022-03-06 08:58:29,2022-03-06 08:58:30,,0,1,一等品,622,5,,622,5465,7,13
5406,2022-03-06 08:53:37,2022-03-06 08:53:37,,0,1,一等品,622,4,,622,5463,63,69
5405,2022-03-06 08:52:58,2022-03-06 08:52:58,,0,1,一等品,622,1,,622,5464,56,70
5404,2022-03-06 08:52:30,2022-03-06 08:52:30,,0,1,一等品,622,3,,622,5462,1.14,1.16
5403,2022-03-06 08:51:24,2022-03-06 08:51:27,,0,1,一等品,622,8,,622,5461,79,115
5402,2022-03-06 08:51:05,2022-03-06 08:51:06,,0,1,一等品,622,6,,622,5461,25,300
5401,2022-03-06 08:50:44,2022-03-06 08:51:44,,0,1,一等品,622,5,,622,5461,7,13
5383,2022-03-01 14:09:40,2022-03-01 14:09:41,,0,1,一等品,622,3,,622,5442,1.23,1.25
5382,2022-03-01 14:09:27,2022-03-01 14:09:27,,0,1,一等品,622,4,,622,5444,53,57
5381,2022-03-01 14:09:13,2022-03-01 14:09:14,,0,1,一等品,622,1,,622,5443,44,54
5363,2022-02-27 17:49:33,2022-02-27 17:49:33,,0,1,一等品,622,3,,,5423,1.19,1.21
5362,2022-02-27 17:48:41,2022-02-27 17:48:41,,0,1,一等品,622,4,,,5422,66,72
5361,2022-02-27 17:47:52,2022-02-27 17:47:52,,0,1,一等品,622,1,,,5421,56,70
5346,2022-02-26 22:10:31,2022-02-26 22:10:31,,0,1,一等品,623,4,,,5403,48,52
5345,2022-02-26 22:10:09,2022-02-26 22:10:09,,0,1,一等品,623,3,,,5402,1.03,1.05
5344,2022-02-26 22:09:32,2022-02-26 22:09:32,,0,1,一等品,623,8,,,5401,72.1,133.9
5343,2022-02-26 22:09:18,2022-02-26 22:09:18,,0,1,一等品,623,6,,,5401,29.75,55.25
5342,2022-02-26 22:09:04,2022-02-26 22:09:04,,0,1,一等品,623,5,,,5401,4.2,7.8
5341,2022-02-26 22:08:34,2022-02-26 22:08:42,,0,1,一等品,623,1,,623,5404,25,35
5325,2022-02-25 18:03:03,2022-02-25 18:03:03,,0,1,一等品,622,4,,,5383,79,85
5324,2022-02-25 18:02:44,2022-02-25 18:02:46,,0,1,一等品,622,3,,622,5382,1.44,1.5
5323,2022-02-25 18:02:22,2022-02-25 18:02:22,,0,1,一等品,622,8,,,5381,68,98
5322,2022-02-25 18:02:08,2022-02-25 18:15:47,,0,1,一等品,622,6,,622,5381,20,999
5321,2022-02-25 18:01:55,2022-02-25 18:01:55,,0,1,一等品,622,5,,,5381,12,18
5306,2022-02-25 11:00:12,2022-02-25 11:00:12,,0,1,一等品,622,4,,622,5363,62,66
5305,2022-02-25 10:59:50,2022-02-25 10:59:51,,0,1,一等品,622,3,,622,5362,1.14,1.16
5304,2022-02-25 10:59:25,2022-02-25 10:59:25,,0,1,一等品,622,1,,622,5364,55,69
5303,2022-02-25 10:58:31,2022-02-25 10:58:35,,0,1,一等品,622,8,,622,5361,135,185
5302,2022-02-25 10:58:16,2022-02-25 10:58:32,,0,1,一等品,622,6,,622,5361,30,200
5301,2022-02-25 10:58:00,2022-02-25 10:58:00,,0,1,一等品,622,5,,622,5361,9,14
5283,2022-02-21 23:20:00,2022-02-21 23:20:00,,0,1,一等品,622,4,,,5342,62,66
5282,2022-02-21 23:19:13,2022-02-21 23:19:13,,0,1,一等品,622,3,,,5341,1.14,1.16
5281,2022-02-21 23:17:41,2022-02-21 23:17:41,,0,1,一等品,622,1,,,5343,60,70
5272,2022-02-17 14:01:22,2022-02-17 14:01:22,,0,1,一等品,623,1,,,4364,58,72
5271,2022-02-17 14:00:53,2022-02-17 14:00:53,,0,1,一等品,623,4,,,4363,62,66
5270,2022-02-17 14:00:32,2022-02-17 14:00:32,,0,1,一等品,623,3,,,4362,1.13,1.15
5269,2022-02-17 14:00:06,2022-02-17 14:00:06,,0,1,一等品,622,1,,,5325,40,54
5268,2022-02-17 14:00:00,2022-02-17 14:00:00,,0,1,一等品,623,8,,,4361,85,115
5267,2022-02-17 13:59:52,2022-02-17 13:59:52,,0,1,一等品,622,4,,,5324,58,62
5266,2022-02-17 13:59:46,2022-02-17 13:59:46,,0,1,一等品,623,6,,,4361,30,999
5265,2022-02-17 13:59:35,2022-02-17 13:59:35,,0,1,一等品,622,3,,,5323,1.17,1.19
5264,2022-02-17 13:59:32,2022-02-17 13:59:32,,0,1,一等品,623,5,,,4361,9,14.5
5263,2022-02-17 13:59:19,2022-02-17 13:59:19,,0,1,一等品,622,8,,,5326,93,135
5262,2022-02-17 13:59:07,2022-02-17 13:59:07,,0,1,一等品,622,6,,,5326,30,999
5261,2022-02-17 13:58:46,2022-02-17 13:58:46,,0,1,一等品,622,5,,,5326,8,11
5243,2022-02-15 04:47:08,2022-02-15 04:47:08,,0,1,一等品,623,1,,,5303,60,70
5242,2022-02-15 04:46:45,2022-02-15 04:46:53,,0,1,一等品,623,4,,623,5302,72,76
5241,2022-02-15 04:46:26,2022-02-15 04:46:31,,0,1,一等品,623,3,,623,5301,1.14,1.16
5226,2022-02-14 16:26:52,2022-02-14 16:26:52,,0,1,一等品,622,1,,,5285,58,72
5225,2022-02-14 16:26:38,2022-02-14 16:26:38,,0,1,一等品,622,4,,,5284,62,66
5224,2022-02-14 16:26:22,2022-02-14 16:26:22,,0,1,一等品,622,3,,,5282,1.13,1.15
5223,2022-02-14 16:26:01,2022-02-14 16:26:01,,0,1,一等品,622,8,,,5281,85,115
5222,2022-02-14 16:25:50,2022-02-14 16:25:50,,0,1,一等品,622,6,,,5281,30,200
5221,2022-02-14 16:25:39,2022-02-14 16:25:39,,0,1,一等品,622,5,,,5281,9,14.5
5206,2022-02-12 20:01:42,2022-02-12 20:01:42,,0,1,一等品,623,3,,,5265,1.145,1.175
5205,2022-02-12 20:01:11,2022-02-17 12:34:50,,0,1,一等品,623,1,,622,5264,60,76
5204,2022-02-12 20:00:49,2022-02-12 20:00:49,,0,1,一等品,623,4,,,5263,64,70
5203,2022-02-12 20:00:04,2022-02-17 12:35:43,,0,1,一等品,623,8,,622,5261,100,130
5202,2022-02-12 19:59:38,2022-02-12 19:59:38,,0,1,一等品,623,6,,,5261,31,59
5201,2022-02-12 19:59:22,2022-02-12 19:59:22,,0,1,一等品,623,5,,,5261,9,15
5186,2022-02-11 14:18:38,2022-02-11 14:18:41,,0,1,一等品,623,4,,623,5243,67,71
5185,2022-02-11 14:18:06,2022-02-11 14:18:17,,0,1,一等品,623,8,,623,5241,80,105
5184,2022-02-11 14:17:46,2022-02-11 14:17:46,,0,1,一等品,623,6,,,5241,30,999
5183,2022-02-11 14:17:29,2022-02-11 14:17:29,,0,1,一等品,623,5,,,5241,16,19
5182,2022-02-11 14:16:55,2022-02-11 14:16:58,,0,1,一等品,623,1,,623,5244,60,71
5181,2022-02-11 14:16:20,2022-02-11 14:16:20,,0,1,一等品,623,3,,,5242,1.12,1.14
5163,2022-02-10 12:14:16,2022-02-10 12:14:16,,0,1,一等品,622,1,,,5223,57,67
